MATRICULA,BA000118,BA000122,BA000171,BA000200,BA000949,BA001073,BA001074,BA001075,BA001078,BA001079,BA001082,BA001083,BA001084,BA001085,BA001089,BA001090,BA001091,BA001231,BA001367,BA001430,BA001432,BA001440,BA001442,BA001495,BA001651,BA001652,BA001653,BA001911,BA010801,BA010803,BA010901,BA010902,BA010903,BA010904,BA010905,BA010906,BA010907,BA010993,BA011004,BA011010,BA011012,BA011015,BA011019,BA011505,BA011518,BA011736,BA013607,BA013610,BA015712,BA017501,BA017505,BA017510,BA017512,BA017513,BA017515,BA017518,TRT001,"17504,00",ACG038,ACG039,ACG046,ACG047,ACG50
2108951367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
2108951446,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
2108951447,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2108951448,,,,,,,,7.00,,,,,,,,,6.80,,6.50,,,,,,,,,,,,,,7.00,8.20,,,,,,,,,,,,,,,,,,,,7.70,,,,,,,,,
2108952333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
2108952343,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,8.50,,,,,,,,,,,,,,,,
2108952468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
2108952469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
2108952472,,,,,,,8.90,,,,,,,,,,,,,,,,,,,,,,,,8.63,,,,,,,,,,,,9.00,,,,,,8.30,,,,,,,,,,,,,,
2108952475,,,,,,,8.70,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9.50,,,,,,,,,7.50,,,,,,,,,,,,,,,,,,,,
2108952476,,,,,,,,9.00,,,,,,,,,,,,,2.20,,,,,,,,,,,,10.00,8.60,,,,,,,,,,,,,,,,,,,,7.30,,,,,0.00,,,,
2108952477,,,,,,,9.70,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,9.00,,,,,,,,,7.50,,,,,,,,,,,,,,,,0.00,,,,
2108952516,,,,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,9.00,7.80,,,,,,,,,,,9.15,,,,,,,,,8.10,,,,,0.00,0.00,,,
2108952517,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,8.50,8.50,,,,,,,,8.00,,,,,,,,,,7.20,9.00,,,,,,,,,
2108952518,,,,,,,,8.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,10.00,9.30,,,,,,,,,,,9.40,,,,,,,,,8.80,,,,,,,0.00,,
2108952539,,,,,,,,,,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2108952540,,,,,,,,,,,,,,,,,,,,,,,,,0.50,3.00,,,,,2.25,,,,,,,2.10,,,,,,,,,,,,,,,,,,,,,,,,,
2109050184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,,,,,,,
2109050208,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,0.00,,,,,,,,,,,0.00,,,,,,,0.00,,,,,,,
2208950509,,,,,,,,,,,,,,,,,,,,,1.20,,,,4.50,9.70,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950510,,,,,,,,,,,,,,,,,,,,,,,,,7.00,9.72,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950582,,,,,,,0.00,,,,,,,,,,,,,,,,,,7.50,6.90,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,
2208950583,,,,,,,,,,,,,,,,,,,,,9.00,,,,6.60,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,
2208950584,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,
2208950585,,,,,,,,,,,,,,,,,,,,,2.10,,,,5.30,5.40,6.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950586,,,,,,,,,,,,,,,,,,,,,,,,,,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,
2208950589,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950662,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,,0.50,3.74,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950663,,,,,,,,,,,,,,,,,,,,6.75,1.31,6.60,,,5.60,6.46,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950664,,,,,,,,,,,,,,,,,,,,6.40,0.00,7.00,,,1.80,4.20,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950665,,,,,,,,,,,,,,,,,,,,7.60,6.30,2.50,,,6.50,6.92,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950666,,,,,,,,,,,,,,,,,,,,6.70,7.20,7.30,,,6.30,8.96,7.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950667,,,,,,,,,,,,,,,,,,,,7.25,6.20,6.70,,,6.80,7.84,6.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950958,,,,,,,,,,,,,,,,,,,,8.75,10.00,8.80,,,9.40,9.70,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950959,,,,,,,,,,,,,,,,,,,,7.45,10.00,8.20,,,7.90,9.94,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950960,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208950961,,,,,,,,,,,,,,,,,,,,6.25,7.50,7.20,,,6.60,8.54,7.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
